DAY,JOB_ID,ASSIGNED_PRINTER,PRINTING_START,PRINTING_FINISH,ASSIGNED_POSTPROCESS_WORKER,POSTPROCESSING_START,POSTPROCESSING_FINISH,ASSIGNED_PACKAGING_WORKER,PACKAGING_START,PACKAGING_FINISH
3,40,4,51.077349351157366,58.92734935115737,5,58.92734935115737,63.92734935115737,0,63.92734935115737,64.14401601782403
3,46,4,58.92734935115737,60.19401601782403,4,60.727349351157365,63.727349351157365,1,63.727349351157365,63.9606826844907
3,39,1,50.74401601782404,62.34401601782404,0,62.34401601782404,68.34401601782403,0,68.34401601782403,68.54401601782403
3,42,0,57.6106826844907,63.227349351157365,2,63.227349351157365,67.22734935115736,0,67.22734935115736,67.44401601782403
3,43,3,58.17734935115736,63.47734935115736,3,63.47734935115736,68.47734935115736,1,68.47734935115736,68.74401601782402
3,49,0,63.227349351157365,64.04401601782403,1,64.04401601782403,66.04401601782403,0,66.04401601782403,66.34401601782403
3,45,2,58.727349351157365,66.37734935115736,1,66.37734935115736,71.37734935115736,0,71.37734935115736,71.69401601782403
3,50,3,63.47734935115736,67.92734935115736,2,67.92734935115736,72.92734935115736,1,72.92734935115736,73.17734935115736
3,53,3,67.92734935115736,68.01068268449069,4,68.01068268449069,69.01068268449069,0,69.01068268449069,69.26068268449069
3,52,2,66.37734935115736,68.02734935115737,5,68.02734935115737,72.02734935115737,0,72.02734935115737,72.19401601782404
3,51,0,64.04401601782403,68.64401601782403,0,68.64401601782403,73.64401601782403,0,73.64401601782403,73.92734935115736
3,55,2,68.02734935115737,68.72734935115737,3,68.72734935115737,72.72734935115737,0,72.72734935115737,72.97734935115737
3,57,2,68.72734935115737,71.47734935115737,1,71.47734935115737,75.47734935115737,0,75.47734935115737,75.72734935115737
3,47,4,60.19401601782403,71.79401601782403,4,71.79401601782403,77.79401601782403,0,77.79401601782403,77.97734935115737
3,54,3,68.01068268449069,72.94401601782403,2,72.94401601782403,76.94401601782403,0,76.94401601782403,77.1106826844907
3,59,4,71.79401601782403,73.3106826844907,3,73.3106826844907,76.3106826844907,0,76.3106826844907,76.54401601782403
3,58,2,71.47734935115737,73.37734935115738,5,73.37734935115738,76.37734935115738,1,76.37734935115738,76.62734935115738
